 t wt00 wt01 b0 b1 sig2 muh0 varh_diag0
0 0.0 0.0 0.0 151801.0 61468.0 0.0 0.0 1.0
1 0.5 -5514.028941148781 0.4568635388746015 62809.26 61468.06 22.256989992561234 0.0 1.0
2 1.0 -2618.376691503117 0.8460198957234596 41509.78 61468.66 22.900985029917592 0.0 1.0
3 1.5 -1597.2679196507038 -1.105368339296016 37736.42 61469.1 19.60469144672689 0.0 1.0
4 2.0 -1528.7102824841857 -0.346435819833297 37170.7 61467.76 23.372227120695616 0.0 1.0
5 2.5 -1282.0167333590537 0.35930824589670773 36738.56 61468.44 32.4488567681041 0.0 1.0
6 3.0 -1221.046803120491 1.9546654174796236 36663.82 61467.76 22.610303513872474 0.0 1.0
7 3.5 -1210.8011617535408 1.0324518319263707 36679.98 61468.4 19.2605738269968 0.0 1.0
8 4.0 -1208.5903480408042 0.4416918359982595 36409.88 61468.6 19.72327566895128 0.0 1.0
9 4.5 -1523.4546988698385 0.7837107043535725 36861.42 61467.64 17.416817940044908 0.0 1.0
10 5.0 -1351.954100725373 0.8702912894156201 36644.9 61468.98 29.99728694911834 0.0 1.0
11 5.5 -1237.3699895516058 0.03531321316425004 36656.04 61468.04 19.180793793302538 0.0 1.0
12 6.0 -1393.4454384867524 1.0799842908149693 36900.42 61467.86 19.160572707103096 0.0 1.0
13 6.5 -1622.3304818604336 0.13896864032656728 37138.48 61467.8 25.98068771700578 0.0 1.0
14 7.0 -1479.1138998843858 0.4992387810471403 36754.64 61468.66 28.55116880276385 0.0 1.0
15 7.5 -1425.4734349144105 -0.06205457126772355 36521.3 61468.64 23.00676147508275 0.0 1.0
16 8.0 -1496.4975797266538 0.7298344648199022 36808.58 61468.02 24.222035531512084 0.0 1.0
17 8.5 -1884.242220640846 -0.10654421169510674 36905.0 61468.6 23.58048506564816 0.0 1.0
18 9.0 -1793.5511211485484 0.43482315158153545 36730.44 61469.0 23.117051275828292 0.0 1.0
19 9.5 -1382.1758946795067 0.5331428117750613 37184.08 61466.74 23.29984037490564 0.0 1.0
20 10.0 -1429.4783823246469 0.26384677793641886 36874.5 61467.72 23.850384877772573 0.0 1.0
21 10.5 -1425.1583026295239 0.4177231620898873 36546.04 61467.88 24.42305838026178 0.0 1.0
22 11.0 -1192.4651281949423 1.4492509538671186 36889.46 61467.56 27.53885534618465 0.0 1.0
23 11.5 -1362.7088709363302 -0.03484655842380067 37042.44 61467.1 20.253887758182355 0.0 1.0
24 12.0 -1406.7111912297007 0.6746278386984708 36886.26 61466.64 30.882020136395898 0.0 1.0
25 12.5 -1539.0411105678543 1.4586888065569632 37101.84 61466.36 28.474675945217268 0.0 1.0
26 13.0 -1438.1058858043973 -0.07290996159111778 37302.24 61469.02 30.096316790562025 0.0 1.0
27 13.5 -2179.984934581158 0.25852959041351437 37429.02 61467.94 25.786631838635714 0.0 1.0
28 14.0 -1764.147355314448 0.8676955768641065 37323.7 61466.84 21.384247243033304 0.0 1.0
29 14.5 -1635.269527754115 0.914638962632644 37016.82 61468.18 26.04874169048323 0.0 1.0
30 15.0 -1565.7696606525462 2.1786570450082294 37246.68 61468.22 31.551004500644176 0.0 1.0
31 15.5 -1596.9094306242519 -1.2216684554166557 37232.3 61467.68 27.831607817692905 0.0 1.0
32 16.0 -1957.004125168684 1.8328656890166444 37319.86 61467.52 23.466725815005148 0.0 1.0
33 16.5 -2262.384877156152 0.74075055666454 37350.52 61467.28 20.146798816882782 0.0 1.0
34 17.0 -1680.4761483965497 0.5225751659008905 37062.02 61466.58 30.628547849044878 0.0 1.0
35 17.5 -1861.6834030049945 1.037443763862953 37367.3 61467.08 22.998812477638193 0.0 1.0
36 18.0 -1831.749301949358 0.79480977192053 37491.24 61467.56 24.680930487684115 0.0 1.0
37 18.5 -1740.0569548985236 0.09982080015372233 37316.5 61467.32 23.763097032346444 0.0 1.0
38 19.0 -1465.7789819470786 1.6892938560779744 37298.64 61466.42 26.00710259434782 0.0 1.0
39 19.5 -1313.6155450689917 0.6959371644030038 37122.5 61467.86 24.45485513667211 0.0 1.0
