t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 11 5 33 16 9 1 25 2
0.1 1075081 130590 61467 10 4 31 19 7 0 30 1
0.2 1094406 111273 61470 10 7 36 14 10 2 22 1
0.3 1107190 98480 61466 4 6 35 18 11 0 27 1
0.4 1118655 87017 61472 14 4 34 17 5 0 24 4
0.5 1131088 74586 61472 9 4 36 20 11 0 22 0
0.6 1140056 65622 61460 10 4 28 15 12 2 28 3
0.7 1145311 60368 61472 19 4 30 16 6 0 23 4
0.8 1149692 55991 61466 14 4 27 18 15 1 21 2
0.9 1152134 53548 61471 16 6 29 17 10 1 22 1
1 1154197 51494 61468 19 9 22 15 13 1 23 0
1.1 1159090 46600 61466 17 6 22 18 17 2 20 0
1.2 1160825 44868 61467 18 11 20 15 16 0 22 0
1.3 1163871 41829 61461 19 9 17 13 21 3 19 1
1.4 1165564 40141 61468 24 14 17 10 18 0 18 1
1.5 1166550 39153 61468 25 12 19 9 16 1 17 3
1.6 1167047 38655 61472 24 12 23 10 16 1 14 2
1.7 1167849 37853 61467 22 8 23 11 19 4 13 2
1.8 1168167 37537 61475 22 12 27 11 20 1 8 1
1.9 1168719 36985 61475 22 13 28 9 18 2 9 1
2 1168404 37300 61467 22 14 20 8 18 0 18 2
2.1 1167804 37894 61468 18 7 26 14 20 3 14 0
2.2 1167675 38028 61459 21 7 18 10 21 3 19 3
2.3 1167457 38240 61465 23 10 19 10 13 0 24 3
2.4 1166209 39495 61470 31 9 14 13 13 0 21 1
2.5 1165744 39959 61476 25 10 26 12 17 0 11 1
2.6 1166052 39646 61465 20 8 23 11 16 3 20 1
2.7 1165465 40234 61471 19 13 27 9 17 0 15 2
2.8 1166003 39698 61468 22 9 21 13 18 3 16 0
2.9 1166084 39620 61473 26 14 21 9 15 1 14 2
3 1165941 39762 61456 20 14 12 7 19 2 25 3
3.1 1164934 40764 61468 20 13 22 10 15 1 20 1
3.2 1164805 40893 61469 20 12 21 13 18 0 17 1
3.3 1167059 38647 61469 26 11 19 10 20 1 11 4
3.4 1168665 37044 61465 24 14 14 10 22 2 15 1
3.5 1169011 36695 61465 21 13 19 9 23 2 12 3
3.6 1169223 36484 61470 23 14 19 11 21 2 12 0
3.7 1169401 36303 61473 25 14 19 12 17 1 14 0
3.8 1168780 36929 61467 23 15 18 8 21 4 12 1
3.9 1168328 37374 61470 20 16 22 9 18 2 14 1
4 1168965 36743 61468 25 14 15 11 21 2 13 1
4.1 1169701 36004 61473 30 13 14 13 16 0 14 2
4.2 1169624 36082 61468 24 12 16 13 21 3 13 0
4.3 1169622 36082 61471 24 13 18 13 21 0 11 2
4.4 1169419 36280 61476 28 8 21 16 15 2 10 2
4.5 1170027 35674 61471 27 8 21 12 17 3 9 5
4.6 1170131 35573 61471 25 11 20 12 20 2 9 3
4.7 1170356 35347 61467 20 12 19 13 25 0 10 3
4.8 1169840 35863 61467 25 14 15 10 19 0 14 5
4.9 1169368 36331 61473 22 12 22 14 18 1 12 1
5 1169459 36242 61474 25 15 20 11 15 0 14 2
5.1 1169107 36592 61472 24 14 19 12 15 0 16 2
5.2 1167722 37975 61477 24 14 23 13 13 0 14 1
5.3 1166955 38742 61468 20 13 20 12 17 1 17 2
5.4 1166321 39375 61464 21 11 17 12 15 3 21 2
5.5 1167272 38421 61471 18 12 23 15 16 1 17 0
5.6 1166317 39376 61471 22 12 22 12 12 1 18 3
5.7 1167126 38576 61474 25 14 20 12 16 1 13 1
5.8 1168177 37523 61467 20 12 18 14 21 1 15 1
5.9 1168962 36739 61469 20 15 20 11 20 0 14 2
6 1168251 37448 61472 22 13 20 14 18 0 14 1
6.1 1168335 37366 61469 24 11 16 15 20 0 14 2
6.2 1168852 36846 61475 29 8 18 17 13 2 14 1
6.3 1169436 36269 61473 24 12 22 12 21 1 8 2
6.4 1169612 36096 61473 26 14 20 10 20 1 9 2
6.5 1170172 35538 61477 33 13 17 11 14 3 11 0
6.6 1170138 35566 61466 22 13 17 11 21 1 15 2
6.7 1169948 35756 61471 26 12 17 13 18 2 13 1
6.8 1169745 35953 61471 21 12 21 14 18 1 14 1
6.9 1169185 36515 61479 22 16 27 11 16 0 9 1
7 1169143 36563 61472 24 16 20 9 18 2 12 1
7.1 1167959 37741 61468 23 15 16 11 14 2 21 0
7.2 1167245 38460 61465 25 12 16 9 16 6 17 1
7.3 1168324 37382 61476 28 17 18 10 14 1 14 0
7.4 1167700 38002 61468 22 11 21 11 17 6 14 0
7.5 1168321 37387 61461 22 15 12 9 21 4 19 0
7.6 1169328 36385 61468 22 17 17 9 26 2 9 0
7.7 1169784 35925 61468 24 13 17 11 23 2 11 1
7.8 1170169 35543 61476 31 16 16 10 17 1 11 0
7.9 1170333 35373 61474 24 18 20 9 17 0 14 0
8 1168384 37319 61466 20 17 18 8 17 2 20 0
8.1 1168170 37532 61476 25 12 23 13 16 2 11 0
8.2 1168230 37470 61473 24 13 21 12 15 1 15 1
8.3 1169123 36586 61473 29 14 19 8 17 2 10 3
8.4 1169237 36468 61472 26 16 20 7 15 2 13 3
8.5 1169038 36671 61470 23 15 20 9 22 3 9 1
8.6 1169814 35891 61474 23 14 22 12 21 1 8 1
8.7 1169614 36091 61465 22 12 17 11 23 2 12 3
8.8 1169840 35871 61458 21 14 8 12 28 1 18 0
8.9 1170453 35255 61469 23 15 19 9 22 1 11 2
9 1169919 35785 61458 17 11 16 11 26 3 16 2
9.1 1169882 35829 61474 30 14 16 11 18 2 11 0
9.2 1169785 35924 61471 28 13 16 11 19 2 12 1
9.3 1169160 36542 61470 23 14 20 10 16 3 15 1
9.4 1167964 37739 61461 21 14 14 9 18 4 21 1
9.5 1166824 38882 61468 21 20 16 8 19 0 18 0
9.6 1167336 38369 61468 23 18 16 8 16 2 19 0
9.7 1167416 38297 61465 23 18 16 5 25 0 11 4
9.8 1168893 36817 61467 23 18 16 7 22 0 14 2
9.9 1169414 36297 61467 26 16 14 8 21 1 14 2
10 1168950 36760 61471 31 16 10 11 16 0 18 0
10.1 1169847 35869 61468 28 15 11 11 25 1 11 0
10.2 1170347 35362 61479 27 18 22 9 18 0 7 1
10.3 1170142 35564 61467 22 17 19 6 19 2 14 3
10.4 1169809 35904 61479 31 19 17 9 17 0 9 0
10.5 1170587 35130 61473 33 12 15 10 21 4 6 1
10.6 1171075 34641 61472 29 16 15 9 24 0 7 2
10.7 1171261 34455 61467 31 13 10 10 23 2 11 2
10.8 1171174 34539 61467 27 14 12 11 24 1 12 1
10.9 1170658 35053 61468 27 16 13 9 20 1 15 1
11 1170039 35668 61467 24 13 15 12 21 2 15 0
11.1 1169815 35892 61471 27 12 17 12 18 3 13 0
11.2 1170485 35224 61466 24 12 15 12 23 3 13 0
11.3 1169850 35857 61474 32 13 17 9 12 3 14 2
11.4 1168678 37029 61475 26 16 21 9 17 1 11 1
11.5 1167537 38172 61470 22 16 20 9 22 1 12 0
11.6 1167575 38135 61466 23 15 16 9 22 2 15 0
11.7 1168220 37483 61462 20 12 17 10 20 3 19 1
11.8 1168206 37495 61472 25 14 20 10 13 1 18 1
11.9 1166801 38896 61460 15 12 21 9 19 3 21 2
12 1166568 39137 61473 28 16 17 9 12 1 19 0
12.1 1167579 38128 61469 22 14 20 10 21 2 13 0
12.2 1167324 38382 61463 21 13 16 10 23 1 16 2
12.3 1168100 37601 61461 22 13 15 8 18 0 21 5
12.4 1167242 38460 61472 20 16 23 10 18 0 15 0
12.5 1167005 38699 61464 16 12 22 11 26 2 12 1
